BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio,Library Formula,Library Molecular Weight
753,"Oxiraneundecanoic acid, 3-pentyl-, methyl ester, trans-",,lib,,true,2161.8320610687024,,18982,mainlib,36284,687,705,17.229999542236328,,0,54.69114690924994,0.361190132632319,76.03811665484682,2052.4441729293694,,,0.0,0.0,0.0,C19H36O3,312
897,"5H-Cyclopropa(3,4)benz(1,2-e)azulen-5-one, 1,1a-α,1b-ß,4,4a,7a-α,7b,8,9,9a-decahydro-4a-ß,7b-α,9a-α-trihydroxy-3-(hydroxymethyl)-1,1,6,8-α-tetramethyl-, 9a-isobutyrate",,lib,,true,2248.333333333333,,38173,mainlib,203001,671,677,21.559999465942383,,0,56.818040804550535,0.5675844941365014,38.88107400733861,2051.628977512195,,,0.0,0.0,0.0,C24H34O6,418
716,"2-(2-Azepan-1-yl-2-oxoethyl)-1-hydroxy-1-phenyl-octahydro-pyrido[1,2-a]azepin-4-one",,lib,,true,1800.0,,21176,mainlib,287744,609,614,31.260000228881836,,0,44.844415912487904,0.4334281591587828,95.24421112623531,2047.0832202032914,,,0.0,0.0,0.0,C24H34N2O3,398
736,"Bi-1-cyclohexen-1-yl, 3,3,3',3',5,5,5',5'-octamethyl-",,lib,,true,2166.412213740458,,212735,mainlib,156765,673,719,14.770000457763672,,0,54.80930768121108,0.38182956878273727,86.20229217316955,2040.8031135646106,,,0.0,0.0,0.0,C20H34,274
807,"Anthracene, 1,4-dimethyl-",,lib,,true,2094.656488549618,,188346,mainlib,152653,816,868,17.799999237060547,,0,52.95812225381982,0.7120605471894289,55.284889793605544,2031.8457625559622,,,0.0,0.0,0.0,C16H14,206
909,"Bi-1-cyclohexen-1-yl, 3,3,3',3',5,5,5',5'-octamethyl-",,lib,,true,2178.625954198473,,212735,mainlib,156765,667,768,13.359999656677246,,0,55.12440307310747,0.40246900493315546,37.76833202177659,2028.5437377425478,,,0.0,0.0,0.0,C20H34,274
731,"1H-Naphtho[2,1-b]pyran, 3-ethenyldodecahydro-3,4a,7,7,10a-pentamethyl-, [3R-(3α,4aß,6aα,10aß,10bα)]-",,lib,,true,2044.2748091603055,1992.0,218454,mainlib,413069,795,880,41.63999938964844,,0,51.65835376224724,0.4231084410835737,89.4662601153832,2023.467800254568,,,0.0,0.0,0.0,C20H34O,290
811,"Benzene, 1,1'-tetradecylidenebis-",,lib,,true,2210.0,,156180,mainlib,15906,673,721,26.31999969482422,,0,55.91214155284843,0.536625339910874,54.05187719952664,1968.6654638692999,,,0.0,0.0,0.0,C26H38,350
888,"Chromone, 5-hydroxy-6,7,8-trimethoxy-2,3-dimethyl-",,lib,,true,2122.1374045801526,,215120,mainlib,124959,680,718,28.90999984741211,,0,53.66708688558669,0.30959154225627344,40.479801438050345,1962.3114886961175,,,0.0,0.0,0.0,C14H16O6,280
812,"3,12-Oleandione",,lib,,true,2330.0,,68923,mainlib,195969,659,659,17.149999618530273,,0,58.7480000799159,0.5675844941365014,53.04548748576781,1961.6629419179271,,,0.0,0.0,0.0,C30H48O2,440
1003,"1,3-Dioxane, 5-(hexadecyloxy)-2-pentadecyl-, trans-",,lib,,true,1931.9444444444446,,230253,mainlib,36414,649,715,20.520000457763672,,0,48.586173691257486,0.30959154225627344,28.961064204806462,1956.0896916710649,,,0.0,0.0,0.0,C35H70O3,538
948,"2,6,9,12,16-Pentamethylheptadeca-2,6,11,15-tetraene-9-carboxylic acid",,lib,,true,2517.1171171171172,,34397,mainlib,195875,659,723,38.880001068115234,,0,62.962400946530046,0.6604619568133834,33.01687955986563,1953.1917835616778,,,0.0,0.0,0.0,C23H38O2,346
800,"Phenanthrene, 2,3,5-trimethyl-",,lib,,true,2248.333333333333,,196137,mainlib,10285,724,824,39.18000030517578,,0,56.818040804550535,0.7533394194902654,55.8277478297241,1909.1070014141587,,,0.0,0.0,0.0,C17H16,220
785,E-8-Methyl-7-dodecen-1-ol acetate,,lib,,true,1976.388888888889,,7046,mainlib,131322,653,670,9.380000114440918,,0,49.846555258843026,0.7533394194902654,61.87767709069885,1905.34757158508,,,0.0,0.0,0.0,C15H28O2,240
835,"Androst-5,7-dien-3-ol-17-one",,lib,,true,1893.0555555555557,,5926,mainlib,251168,665,695,23.6299991607666,,0,47.483339819620134,0.4334281591587828,48.05825723102316,1900.6033014029563,,,0.0,0.0,0.0,C19H26O2,286
908,"Tricyclo[8.4.1.1(3,8)]hexadeca-3,5,7,10,12,14-hexaen-2-one, anti-",,lib,,true,2135.87786259542,,166783,mainlib,185485,683,748,25.200000762939453,,0,54.02156920147012,0.8255774460167292,37.93568968161708,1898.9711697336077,,,0.0,0.0,0.0,C16H14O,222
937,"Tricyclo[8.4.1.1(3,8)]hexadeca-3,5,7,10,12,14-hexaene-2,9-dione, anti-",,lib,,true,2260.0,,166186,mainlib,189978,699,782,15.729999542236328,,0,57.093749272459874,0.9803732171448659,34.776458429172635,1874.11787749918,,,0.0,0.0,0.0,C16H12O2,236
904,"18,19-Secoyohimban-19-oic acid, 16,17,20,21-tetradehydro-16-(hydroxymethyl)-, methyl ester, (15ß,16E)-",,lib,,true,2035.114503816794,,24103,mainlib,48433,665,694,36.59000015258789,,0,51.42203221832495,0.722380265264638,37.919403014821,1863.2769635940858,,,0.0,0.0,0.0,C21H24N2O3,352
1206,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",,lib,oil,true,2849.484536082474,,20028,mainlib,155907,751,798,18.6200008392334,,0,69.77633879628937,0.4231084410835737,16.002840167932845,1852.2792763961231,,,0.0,0.0,0.0,C30H52O2,444
690,"1,3-Di(2-benzothiazolyl)-1,3-bis(mercaptomethyl)-urea",2-phenylbenzothiazole,lib,btz,true,1965.2777777777778,,155706,mainlib,254324,704,762,48.08000183105469,,0,49.53145986694664,0.4850267495348284,126.36255269104731,1844.102006127554,,,0.0,0.0,0.0,C17H14N4OS4,418
988,"1-Undecene-3,6-dione, 1-(2,6,6-trimethyl1-cyclohexen-1-yl)-",,lib,,true,2042.7480916030534,,222400,mainlib,194412,734,737,56.06999969482422,,0,51.618966838260185,0.8152577279415201,29.504280956927687,1842.117119660973,,,0.0,0.0,0.0,C20H32O2,304
896,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",,lib,oil,true,2697.0873786407765,,20028,mainlib,155907,794,831,45.279998779296875,,0,66.74354564928666,0.35087041455710993,38.82908213324845,1840.2724654212025,,,0.0,0.0,0.0,C30H52O2,444
819,"Ethanol, 2-(octadecyloxy)-",,lib,oil,true,2180.1526717557254,,24333,mainlib,36195,780,793,7.159999847412109,,0,55.16378999709452,0.2167140795793914,51.771056153862446,1775.9615604515984,,,0.0,0.0,0.0,C20H42O2,314
863,"Phenanthrene, 2,3,5-trimethyl-",,lib,,true,2228.333333333333,,196137,mainlib,10285,658,813,14.949999809265137,,0,56.34539771670596,0.6914211110390107,43.773127674357966,1715.7834656743198,,,0.0,0.0,0.0,C17H16,220
