BlobID,Compound.Name,Library.Name,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Formula_Underivitized_forMod,Cstar_Cat,Library.Molecular.Weight_NISTmain,Model_Quant,Model_Properties,Notes
819,20200803_1535_blob_819_oil,caice_ssa_final_0803_1535,octadecanol,193,376,2180.152672,2189,"Ethanol, 2-(octadecyloxy)-",780,793,,C20H42O2,,,314,TRUE,TRUE,RI cant be confirmed
787,20200803_1535_blob_787_,caice_ssa_final_0803_1535,octadecanone,0,651,2386.666667,2032,"1,4-Hexadien-3-one, 5-methyl-1-[2,6,6-trimethyl-2,4-cyclohexadien-1-yl]-",625,716,,C16H22O,,,230,TRUE,TRUE,
675,20200803_1535_blob_675_oil,caice_ssa_final_0803_1535,"oleic Acid, TMS",380,520,2245,2252,"Propanoic acid, 2-(3-acetoxy-4,4,14-trimethylandrost-8-en-17-yl)-",678,686,,C27H42O4,,,430,TRUE,TRUE,
897,20200803_1535_blob_897_,caice_ssa_final_0803_1535,"oleic Acid, TMS",455,478,2248.333333,2252,"5H-Cyclopropa(3,4)benz(1,2-e)azulen-5-one, 1,1a-α,1b-ß,4,4a,7a-α,7b,8,9,9a-decahydro-4a-ß,7b-α,9a-α-trihydroxy-3-(hydroxymethyl)-1,1,6,8-α-tetramethyl-, 9a-isobutyrate",671,677,,C24H34O6,,,418,TRUE,TRUE,
1139,20200803_1535_blob_1139_,caice_ssa_final_0803_1535,p-anisic acid (4-methozybenzoic acid),0,602,2100.763359,1544,"1,4,7-Trimethyl-2-azafluorene",698,741,,C15H15N,,,209,TRUE,TRUE,
1149,20200803_1535_blob_1149_,caice_ssa_final_0803_1535,p-anisic acid (4-methozybenzoic acid),0,551,2123.664122,1544,"Ethyl 1-(8-dimethylamino-1-naphthyl)-1H-1,2,3-triazole-5-carboxylate",669,690,,C17H18N4O2,,,310,TRUE,TRUE,
1168,20200803_1535_blob_1168_,caice_ssa_final_0803_1535,p-anisic acid (4-methozybenzoic acid),0,591,2125.19084,1544,"2-Propenoic acid, 2-[(3,3a,4,5,6,6a-hexahydro-3-oxo-2-phenyl-4,6-methanopentalen-6a-yl)oxy]-, methyl ester",664,730,,C19H18O4,,,310,TRUE,TRUE,
1241,20200803_1535_blob_1241_,caice_ssa_final_0803_1535,p-anisic acid (4-methozybenzoic acid),0,607,2094.656489,1544,"Isobenzofuran, 1,3-dihydro-1,1-dimethyl-3-phenyl-",662,813,,C16H16O,,,224,TRUE,TRUE,
728,20200803_1535_blob_728_,caice_ssa_final_0803_1535,pentadecanone,431,513,1720.253165,1727,"2-Propenoic acid, tridecyl ester",846,865,,C16H30O2,,,254,TRUE,TRUE,"RI too low, should be >1750"
906,20200803_1535_blob_906_,caice_ssa_final_0803_1535,pentadecanone,0,568,2251.666667,1727,Phorbol,730,733,,C20H28O6,,,364,TRUE,TRUE,
858,20200803_1535_blob_858_,caice_ssa_final_0803_1535,pentadecanone,0,535,2454.054054,1727,Phorbol,721,729,,C20H28O6,,,364,TRUE,TRUE,
760,20200803_1535_blob_760_,caice_ssa_final_0803_1535,pentadecanone,0,558,2412.612613,1727,Phorbol,692,695,,C20H28O6,,,364,TRUE,TRUE,
670,20200803_1535_blob_670_,caice_ssa_final_0803_1535,pentadecanone,613,666,1726.582278,1727,2-Pentadecanone,688,788,1698,C15H30O,,,226,TRUE,TRUE,
663,20200803_0949_blob_663_,caice_ssa_final_0805_0949,pentadecanone,538,587,1726.582278,1727,"Furo[3,2-c]quinoline, 2,3-dihydro-2,4-dimethyl-",623,676,,C13H13NO,,,199,TRUE,TRUE,
808,20200803_1535_blob_808_,caice_ssa_final_0803_1535,perylene-d,0,512,1843.055556,2956,"Benzoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",666,683,1848,C16H24O3,,,264,TRUE,TRUE,
927,20200803_1535_blob_927_,caice_ssa_final_0803_1535,phthalic acid,336,493,1718.987342,1714,"Cyclooctasiloxane, hexadecamethyl-",610,770,1704,C16H48O8Si8,,,592,TRUE,TRUE,
1203,20200803_1535_blob_1203_,caice_ssa_final_0803_1535,pinic acid 1,375,421,1692.405063,1692,1-Ethyl(dimethyl)silyloxytridecane,779,803,,C17H38OSi,,,286,TRUE,TRUE,RI cant be confirmed
730,20200803_1535_blob_730_,caice_ssa_final_0803_1535,pyrene,0,568,2432.432432,2170,"Pyrene, 1,3-dimethyl-",793,907,,C18H14,,,230,TRUE,TRUE,RI cant be confirmed
779,20200803_1535_blob_779_,caice_ssa_final_0803_1535,pyrene,377,417,2172.519084,2170,9-Ethyl-10-methylanthracene,776,817,,C17H16,,,220,TRUE,TRUE,RI cant be confirmed
660,20200803_1535_blob_660_,caice_ssa_final_0803_1535,pyrene,0,554,1818.055556,2170,"6,9-Dimethoxy-4-methyl-2,3-dihydrofuro(3,2-c)quinoline",735,745,,C14H15NO3,,,245,TRUE,TRUE,
715,20200803_1535_blob_715_,caice_ssa_final_0803_1535,pyrene,0,567,2428.828829,2170,"5-(2-Propenylidene)-10,11-dihydro-5H-dibenzo[a,d]cycloheptene",730,807,,C18H16,,,232,TRUE,TRUE,
761,20200803_1535_blob_761_,caice_ssa_final_0803_1535,pyrene,0,617,2114.503817,2170,"9,10-Anthracenedione, 1-methyl-",714,843,,C15H10O2,,,222,TRUE,TRUE,
747,20200803_1535_blob_747_,caice_ssa_final_0803_1535,pyrene,0,550,2418.018018,2170,Phorbol,692,695,,C20H28O6,,,364,TRUE,TRUE,
935,20200803_1535_blob_935_,caice_ssa_final_0803_1535,pyrene,0,550,2409.009009,2170,"4-O-Methyl-12b,13,20-triacetoxy-2,9-dihydroxy-3a-carboxy-2,3-seco-tigla-1(10),6-diene-3,9-lactone",667,669,,C27H36O10,,,520,TRUE,TRUE,
